FSC-A,SSC-A,FL1-A,FL2-A,FL3-A,FL4-A,FSC-H,SSC-H,FL1-H,FL2-H,FL3-H,FL4-H,Width,Time
2219572,280833,1478,384,561,1943,3050577,351601,926,270,254,1500,66,306
1687608,204238,1474,384,771,672,1909523,202561,585,164,354,415,96,307
2267156,296626,4052,851,508,5598,2805669,365229,3080,527,343,3185,72,308
1832640,138813,2217,474,554,412,2406236,179803,1654,247,488,377,70,312
2445887,442448,5546,671,1167,15413,2411530,399198,2355,358,652,6862,85,312
1687120,201748,2886,494,664,5872,2216245,273990,2282,350,316,3598,68,314
4408438,669515,20954,1965,0,397542,3318174,437916,7404,640,1184,168022,127,314
5777721,1477733,28477,3522,0,1662436,3497340,913529,8589,911,606,407317,136,314
5933395,1205511,19432,2805,498,263404,3127060,642576,5248,753,1075,134043,143,315
2699046,310289,3854,897,1508,6225,2678694,275393,2405,348,653,2433,97,315
1881095,390579,2667,707,570,1818,2476611,498876,1984,410,560,1159,71,315
2200925,200853,8605,1102,549,185332,2499935,245877,6331,578,1272,78915,75,317
2593725,370080,9982,1151,699,219707,3359679,379554,6725,608,1143,101908,84,317
6764065,1523375,26139,3890,0,865745,3208504,811046,6913,925,758,339720,175,318
1623292,335216,4078,1404,1783,1142,500294,99636,920,310,486,486,265,318
2175347,267144,6060,713,1086,33298,1983785,234711,3175,369,936,17483,89,320
2198803,302923,2287,443,787,1408,2114615,340511,1346,376,513,834,76,320
1855077,765200,7952,1295,248,176811,2211369,785413,4726,733,562,85069,81,323
1864912,647715,10242,2083,2184,3964,1907139,817995,7779,1452,1613,2025,84,323
13078854,2305246,49294,4794,0,500531,6541063,1362712,13487,1500,1329,148484,164,324
6149134,1267261,24716,2402,0,561319,4515956,967777,9106,867,298,166450,148,324
5778693,1122798,14207,1594,557,461296,4226591,808621,7494,914,1112,218158,111,324
2782430,431738,4037,1038,1115,4026,3491170,469122,2425,410,699,1711,81,324
3461365,660248,16057,893,0,640301,2525777,479159,6557,531,32,208308,107,325
1680303,318957,4814,568,0,203773,2026433,372248,3095,338,1234,112704,85,326
1941311,536554,7104,1195,771,6283,1993997,585051,4152,504,403,2963,89,327
2125313,407833,3152,819,914,3169,2198592,489108,2507,458,496,1572,80,328
4077174,878443,21737,2370,499,216258,2579289,494238,6852,718,879,67036,124,330
2021395,386943,7313,1421,908,176736,2163664,336834,3920,571,816,74879,100,330
3722484,471128,5327,895,837,1651,2937329,381060,2374,256,515,949,98,330
1899437,281205,6257,902,288,226891,2274711,295245,4159,578,897,103247,77,332
4815070,759709,14972,1688,0,340032,3778208,493487,5745,674,549,155190,110,332
10759962,2658926,243206,74459,76997,1061709,5353942,1219167,77388,25507,26900,365189,181,332
1998584,164846,5723,761,14,334274,2334190,208377,4463,538,1153,170015,81,332
1787058,157585,3164,855,945,36832,2252260,202309,2717,389,554,19048,78,334
4774301,581531,13578,1630,1331,24168,3649160,441905,5203,751,864,7936,115,335
2159977,296547,14116,1411,1808,5255,2462333,289952,9673,768,737,1964,83,336
2796309,1174786,9122,1193,1189,5161,2177966,803958,3448,397,411,1376,142,337
2461424,371070,6638,1350,1852,10505,3215991,374714,3633,637,1055,4923,74,337
1996220,144973,4177,462,0,232297,2681879,182917,2753,467,61,110196,73,337
4128317,905211,15396,1750,532,129394,3709566,701200,5612,665,735,51262,111,337
6909980,775733,25210,2577,0,466173,3272767,402999,6762,720,1296,208992,150,337
8137126,1399405,31496,3076,1602,172293,7377141,1151520,14901,1467,1118,65798,101,337
2745159,830877,12242,1909,3641,13593,2511790,757846,4907,966,2183,5251,120,340
2123107,486171,2752,671,427,5913,2387233,580989,1804,390,283,2687,80,340
4562367,872980,17573,1585,332,165932,3901374,575138,6611,694,539,50624,116,340
2046679,194498,2617,822,801,1171,2638053,237767,2146,391,984,1041,81,341
1504261,276420,3562,413,743,3611,1559805,272125,1926,196,626,1602,70,342
3506750,1082013,14353,1685,1858,15491,3080921,1044736,7106,798,1011,5948,99,343
3822134,695318,16685,982,642,87825,2508243,513320,8602,635,776,34244,124,343
12020024,2678878,53836,5006,10,825605,7729632,2040054,19101,1824,1592,272777,134,344
4355443,717500,16845,2286,608,312237,3944879,606464,8209,921,962,166768,94,344
2465173,884579,7818,1410,926,79530,1845197,1028502,4143,481,861,27187,103,344
1969883,331462,3922,773,754,6184,2438013,395884,3647,402,705,3587,72,344
1533860,359184,4849,761,786,105114,1797702,452026,3118,535,721,52281,76,344
1830671,164263,4581,529,295,6796,2796071,200454,3077,354,603,2969,66,344
15281088,3287884,74226,8299,0,2236368,6534340,1557865,17421,1749,1049,499175,210,344
2470708,642155,13375,1849,252,136958,2290719,515430,5582,846,694,63288,96,344
