FSC-A,SSC-A,FL1-A,FL2-A,FL3-A,FL4-A,FSC-H,SSC-H,FL1-H,FL2-H,FL3-H,FL4-H,Width,Time
2836550,649921,2022,1494,6439,2181,3295115,786125,1544,744,4644,1536,104,413
2318409,297708,1125,765,3500,3580,3090640,385165,719,530,2549,2205,78,414
11775808,4370104,22828,5444,12737,20355,5428172,1914341,4718,1333,3245,4404,187,414
1789502,539342,3504,977,1677,998,2682168,764467,3102,695,1044,909,89,414
2118292,709639,2643,725,2016,2521,2439136,804315,1622,495,1758,1052,94,417
5450552,954990,5074,1198,4440,10863,4672123,899691,2372,658,2565,4576,99,417
1765179,329999,4261,700,2882,6727,2146815,336174,2311,510,1385,3722,88,417
1514236,451311,1008,676,2177,694,2245333,664923,673,474,2071,570,61,421
6814557,1224486,10138,3268,13748,14574,3164463,728830,3884,1077,5173,3843,147,422
3581362,698287,5197,2735,12969,6630,2429869,631939,1929,961,5316,2126,122,423
3337459,916758,2592,6912,38444,5376,2446324,858619,1175,3201,16738,2220,107,424
2443848,563076,2676,4845,25886,10561,2767947,639847,2031,3622,16947,4157,85,424
1743960,176591,685,948,1935,2331,1656472,175845,516,387,1272,1117,85,425
11972237,4161271,21761,9124,32643,21799,4416692,1824599,6380,1581,7195,4162,210,429
1609861,368330,1616,729,2610,2898,2158210,418980,1168,522,2097,1280,70,435
3745991,911010,5194,2059,4431,4774,2518534,653686,2101,681,1963,2019,110,436
1561831,227792,1232,668,3316,3506,2332957,292460,770,405,2554,1603,80,439
2061929,627101,3438,1598,2817,3274,2561746,683992,1914,672,1898,1648,82,439
1759524,273015,4617,857,2421,9187,1622932,313548,2933,490,2040,4257,88,440
4831347,922707,6907,17564,93038,15541,2922083,678034,2457,6684,37401,9175,112,440
2593284,533711,2003,1182,4057,2172,2754934,628352,1332,665,2832,843,87,442
4831543,749801,4159,1653,4365,8419,5223937,790325,2635,786,2369,3576,94,443
7849246,1531625,12311,1964,3485,29072,3343819,852519,3654,534,1040,5722,191,444
7559057,1954593,9856,2302,3716,25225,5415604,1832998,4040,934,1890,9300,111,444
1625006,235920,1777,1943,3475,6665,1665340,273176,1147,755,2189,2615,86,446
1909046,264549,1570,905,2547,1794,2579467,317665,1035,513,1896,842,80,446
6169388,1631018,12577,2915,5421,32130,3914829,947114,4078,982,2158,9665,121,446
4869400,1134987,6055,1672,3520,7737,4388358,971098,3157,741,1679,3928,97,446
7460275,2302827,14757,3921,7859,14946,4202425,1279493,5795,1250,2502,4991,169,446
1884026,259251,2671,1163,4715,3325,2856741,317075,1627,754,3012,1768,87,447
6368693,712042,6855,1163,4725,10742,4501892,479560,2897,437,1718,3713,132,447
2673184,602228,3047,1967,8183,5355,2591997,727674,1541,1107,5031,2518,80,448
5479187,1102853,7642,7862,37015,8263,4269592,821008,3440,2913,15182,3376,140,449
2793770,585028,7630,2321,6789,9196,2799028,689537,6150,1394,4378,5093,88,453
3592914,575489,4290,1778,5793,7385,3748132,569022,2262,1098,2906,4782,87,456
2367930,492159,3891,1607,4326,10352,2618278,478599,2245,787,2486,4563,78,456
8652424,3609043,20395,6699,18817,12389,5081079,2810207,6353,2222,7369,3886,141,459
1735227,381816,1041,0,855,446,507243,124814,613,135,435,542,263,460
6683538,978900,8544,3340,10169,7867,4257559,631437,3123,1093,4525,2806,127,460
3003367,534505,3923,409,3154,4735,3141212,606041,2597,522,1841,2247,102,460
15236437,4378225,15023,5001,13435,11318,6698289,2264035,3525,1150,3080,2900,196,461
2077333,258793,2174,800,2648,1648,2519970,300316,1179,470,1759,886,73,461
3554867,788793,3680,1193,3492,5271,2351479,657397,1363,461,1516,1404,123,464
1863273,256843,1729,970,2119,3107,2358863,294581,1215,415,1575,1752,72,464
3388101,493020,4348,1388,3355,13705,2104864,305628,2577,690,1833,5609,111,467
1434341,337137,1274,644,2196,4827,1430513,350907,933,369,1157,1975,78,467
2315080,256972,2838,950,4451,3219,3141805,331621,2049,788,4425,2066,64,468
3643332,694711,6040,1758,8540,6081,2935045,479524,2125,617,2556,2100,130,469
1807331,200981,1089,583,1312,902,2439750,260513,510,428,795,736,66,469
4953051,1344066,5931,3452,11008,6264,5670745,1463724,3274,1892,7672,3810,83,473
2981814,543035,5011,853,2606,11833,2963829,449407,2288,420,1569,5657,84,474
1835704,248728,2841,5741,28549,11148,1930297,292111,1544,4254,21736,5905,78,475
1869534,274683,2255,764,2504,2246,2241411,303132,1415,495,1619,1620,73,475
3569648,577172,5719,1542,2722,12937,4203657,558841,2764,694,1444,6676,93,478
2061685,372175,4532,1111,1528,8805,1979256,351741,2859,496,1357,3908,85,479
5023327,1266185,10829,3554,17411,21995,2233315,715280,3152,1055,5312,5630,147,479
7928040,3032506,21746,4494,14958,22269,5241150,2367384,9216,1804,5317,5299,158,480
2335558,540137,3749,874,3783,8116,2923511,554741,1977,677,3087,3498,81,480
1566123,556269,2635,783,4068,3758,1506784,520742,1108,442,2383,1781,85,481
2964431,811020,6961,1755,4442,14093,2317179,536113,2269,626,1477,5102,131,483
5545646,978869,5753,1170,4967,11251,4125452,815394,2574,490,2256,4434,119,484
2429626,869575,3355,2682,12281,2554,2072725,848628,1646,1206,7499,1939,104,484
2672879,1433003,7163,2911,11824,5361,2588645,1109925,2830,1374,7058,2564,102,484
4280950,1042850,3813,1874,4501,15680,3824174,584810,1439,437,1679,4815,155,486
3145016,636026,7175,1212,4068,18026,1887636,525630,2610,403,1492,5653,113,486
8544757,2604687,18492,5540,19690,28524,3612666,1172428,4583,1276,4561,6478,184,486
2079865,265227,1726,768,1621,2583,2498899,334230,1195,357,1362,1228,81,486
7264285,1796204,10577,4376,11605,30186,3460557,1021948,2487,1010,2908,6915,168,488
1958323,381868,4171,1594,4083,5137,2016909,441341,2010,662,2772,2341,78,489
2214453,349119,2834,1180,4833,3168,2372497,404546,1861,636,3574,1365,78,489
2823999,528769,2852,1494,2503,3162,2223420,433723,1255,598,1418,1992,95,490
1883505,629064,1299,285,0,472,571988,212187,355,205,373,375,248,492
8700420,3649569,25861,4558,7874,49974,4173374,2001679,7052,1476,2495,12039,162,492
2507434,332794,2425,954,3901,3126,2704416,384969,1387,616,3053,1761,71,493
3508221,1516053,8756,2120,9773,10216,2333324,1024189,3614,762,3069,2893,134,494
2202512,199533,2360,800,851,2412,2731983,230995,1446,490,660,1218,72,496
7402392,2234079,11799,2180,3117,17601,3230811,1047294,3061,685,1064,3944,175,496
5059630,1634463,12879,2222,2384,16180,4456541,1418858,7757,1208,1392,5598,114,496
2418309,920188,5559,1066,2034,7968,1957566,482297,2242,334,832,2443,113,496
4094336,1244461,4198,1328,1431,6244,4144105,1438546,2219,650,1023,3360,87,496
4123057,1364628,8682,1846,2959,11603,3237470,1027687,3735,673,2005,4993,103,496
7653925,2342008,16065,3719,6616,21445,4943437,1300746,5087,950,2251,7087,139,496
4741744,915361,5082,2035,3261,6727,4293110,810886,2236,891,2263,3560,78,496
2306065,455858,3038,1012,4405,3436,2809218,507822,1752,575,3445,1786,96,501
3115894,986916,5624,1514,3677,5931,2410780,929108,2085,672,1402,2215,109,502
1667617,311254,2533,261,1384,2330,2129413,363808,1394,265,752,1806,71,503
2154346,359157,3761,961,3717,4836,2207823,292478,2132,451,1888,2618,90,503
2208930,429425,3468,969,3940,5845,2388775,394500,1924,773,1693,2643,98,503
3824453,746292,5743,1826,9132,12104,2100253,457717,2035,812,3707,4447,142,503
2871925,510903,7076,1455,2709,8222,1684031,363706,2937,519,1045,2546,118,505
7383260,1257225,10697,5068,23595,17476,3563366,736589,2779,1608,6317,4326,167,507
1969595,285897,1328,1450,6758,3140,2432146,330282,1020,961,4175,1694,64,507
2534518,441002,4239,2029,8168,11345,1437947,276137,1320,649,3339,3533,118,507
3523393,540266,3824,1044,3549,10375,3840796,484167,1792,586,1759,4808,104,508
2601719,432638,3725,841,4696,3537,2129732,402513,2106,555,2252,1297,104,510
8454293,2109848,12535,2956,8977,14949,3996114,995129,3265,743,2531,4642,196,512
5060470,1328195,10063,1880,4725,26136,2802809,744398,3052,485,1826,7966,138,512
8413722,2769346,11536,4267,14311,9753,4310569,1344606,3124,1081,4773,2698,145,517
1789055,306368,2964,1088,4883,4619,2467846,297736,1381,560,2672,2538,72,517
1926851,226137,1774,4128,21548,6293,2610271,275474,1621,3520,18417,4736,70,520
4915646,891331,9611,5541,22217,16410,2621430,670691,4140,1955,7350,4366,125,520
2106027,430995,2850,551,1982,7120,2279522,494852,1671,372,1404,3437,73,521
2183870,427320,3268,1330,2415,6702,2368171,495659,1942,572,1672,2644,87,523
2911542,603523,3355,1121,3101,7368,3649554,732137,1868,714,2080,2922,95,523
5904624,1661401,13770,4122,8743,12718,4094939,1068158,4850,1355,3243,3852,116,523
2650867,697327,3148,919,1990,4183,2211828,581340,1120,316,982,2831,129,525
3617570,470910,4780,1839,3757,9945,3892200,543992,3009,1035,2047,4964,88,528
5394668,1186128,3669,1513,3097,4301,4608266,1131869,1967,672,1954,2073,114,529
5594245,1384546,8919,2001,3585,9330,6453858,1477247,4930,1098,2114,4931,116,529
3232014,273076,2133,829,2747,2917,4495331,330539,1147,447,2028,1854,64,529
4378268,1429366,7080,2173,7455,12915,3098328,1193492,2765,1005,3733,5437,112,530
2757666,334959,2061,368,1737,2699,3216175,428079,1030,342,999,1321,80,530
3143031,550610,3750,1066,3918,5947,3135272,471965,1918,705,2294,3145,85,531
2276428,1056920,7606,1457,2207,0,817777,419685,1413,307,425,573,224,533
7919908,3214383,18449,4642,9129,34428,3780685,1765597,4610,1178,2377,8822,162,536
1770678,206194,1929,967,1227,6521,2337142,256248,1260,410,588,3362,88,536
2951808,284710,3221,1468,2457,6841,2393013,207582,1399,440,1394,2458,116,536
5084320,874248,10110,12623,65557,14150,2750268,536186,3734,3858,20841,4384,155,537
2536944,531820,7197,2411,8256,16401,2503542,471020,3182,1311,5019,8193,88,537
8731194,2871196,17599,3194,8668,26036,4940283,1172699,4482,838,2300,6425,180,537
7450299,1525507,15674,3761,7261,23423,4211016,937289,4875,1114,2452,6268,156,541
7922726,1291276,9744,3668,10608,11656,3747733,745751,2964,969,3243,3104,155,543
1698017,193563,2990,799,2710,3680,2524553,219175,2063,481,1798,2264,75,546
4689000,947562,7714,1875,5643,16192,4208597,993490,4579,1039,2491,6322,100,547
1777920,284248,2578,1498,4511,1857,1954014,355440,1380,820,2701,1664,91,547
2079059,349809,3412,1249,2644,4354,2347285,365418,2188,766,1671,2315,92,548
9120901,2368503,12607,8460,38604,11460,6526953,1754858,4129,2942,13272,4329,147,548
2692267,540183,2940,1890,6775,2158,3204428,596174,1520,1275,4332,1670,74,552
2168392,745485,4018,1220,4706,3820,2099289,839650,2693,826,2722,2409,87,555
1899115,291078,1961,1257,3111,1826,2383306,298189,1083,460,1469,1229,86,557
2006083,223365,2226,825,1578,10131,2458904,300908,1893,444,899,6319,79,558
1939541,306770,2650,485,1430,8593,2237702,309387,1789,381,1162,4194,82,558
2687192,369297,2710,6001,31698,2906,2040068,277811,1073,2633,14041,2324,117,560
2033278,448129,1976,639,1509,7187,2401267,566038,1557,376,824,4056,69,564
1856536,232564,1298,1555,5821,2792,2333690,279464,1002,1171,4804,2078,75,567
5652788,1181561,5827,1871,3907,4388,3858096,1066830,2698,907,1311,1830,120,569
3191401,1013094,6655,2203,5816,10112,3545531,906630,3625,1167,3448,5780,85,571
2798239,427530,3668,1060,3133,8538,3695539,446235,2471,605,2342,4111,70,574
4795635,1337787,10841,2490,4695,18172,3445555,908981,5087,747,1856,6168,123,574
1426723,314660,2468,1597,6600,1488,1635832,256597,1321,916,3826,902,88,576
1839186,359744,1633,882,1431,2031,2439322,469713,984,377,806,1102,72,577
2471904,621578,3406,1450,1339,6209,3069258,651397,1600,729,1239,3223,79,577
1674418,319749,4623,1491,3270,10197,1866146,343064,3163,832,2754,4916,71,577
3353349,705798,3378,1304,4189,10958,2302458,499586,1725,435,2073,4262,120,578
3820017,700439,3319,3098,12525,1569,4236561,681802,1681,1862,8379,1183,106,578
1695074,342707,1603,686,3270,2895,2180193,418513,866,325,2041,1475,69,579
