FSC-A,SSC-A,FL1-A,FL2-A,FL3-A,FL4-A,FSC-H,SSC-H,FL1-H,FL2-H,FL3-H,FL4-H,Width,Time
1664228,202586,2163,153,605,9461,1901907,255616,1387,145,370,5190,82,513
1515963,319362,5681,1175,511,3677,1855647,386546,4319,677,363,2355,73,513
2254982,927134,8557,905,901,9414,1759682,817727,5190,447,684,3687,95,513
3708755,639400,138972,9610,0,338638,2374407,388026,96272,6525,1434,155175,132,513
4665722,1009435,123616,8261,0,620920,3180974,649607,66103,4511,408,329086,130,513
4455054,1158235,22689,1175,66,9454,2365933,716303,6419,440,406,2933,129,514
1733215,215664,963,264,607,1884,2087723,281716,901,225,272,1740,74,514
3637317,759012,13808,1568,477,10651,1846764,583668,6361,644,426,4544,130,514
2316673,368498,1588,751,1615,1397,2737795,417649,1104,307,841,1417,74,515
1709861,269103,3101,652,1442,852,1554610,311829,1691,292,601,574,90,515
12704834,2574765,47916,4955,2826,16957,8362435,2010222,20027,1913,1199,5813,161,515
1742613,481329,17548,1022,0,42189,3365126,1148006,16509,1136,1145,34997,44,516
9322904,2094826,36826,3588,3892,26784,4973904,1022771,11239,1038,1279,8282,159,516
6255842,1978558,29201,1671,1181,33765,2721123,1301233,5191,503,589,5424,209,516
10303415,3159475,58679,5265,4670,24627,4643736,1301935,10007,986,913,4919,306,516
4795956,973419,180080,10061,2009,267855,3154935,682078,75804,4118,1564,81080,120,516
6284804,292688,0,0,0,2551,378612,16457,191,195,368,1023,1001,516
11143339,2155646,57313,4688,2025,238820,6545230,1106909,18429,1755,860,101663,170,516
6179643,1229260,25234,1707,1833,19947,2792295,673886,6296,470,838,3866,169,516
7695223,2204009,60024,5718,2769,72708,3691151,1319437,21065,1962,1286,19367,203,516
5124511,883727,43388,4539,0,1496611,3556703,654681,25731,2278,1324,503136,106,516
5394216,1126108,12642,1411,993,76296,3751133,949700,4931,665,776,24423,133,516
